"Domaine principal","Domaine supplémentaire (SAN)","Type de certificat","État","Date de création","Date d'expiration"
"xn--conomie-carburant-9sb.fr","","LETSENCRYPT","ACTIVE","2026-05-28T16:36:23.351969Z","2026-08-26T15:48:15Z"
"www.xn--conomie-carburant-9sb.fr","","LETSENCRYPT","ACTIVE","2026-05-28T16:36:21.920373Z","2026-08-26T15:48:16Z"
